trans_year,trans_week,class_id,store_type,num_units
2011,1,616,ECOM,106
2011,26,616,RETAIL,143
2011,43,,ECOM,108466
2011,20,616,ECOM,12
2011,36,615,RETAIL,2
2011,3,710,RETAIL,5
2011,11,616,ECOM,41
2011,9,,ECOM,142191
2011,39,,ECOM,85594
2011,16,,ECOM,96775
2011,32,,ECOM,74159
2011,12,616,ECOM,21
2011,41,,OUTLETS,144825
2011,11,,RETAIL,1194840
2011,10,,RETAIL,1073423
2011,4,,RETAIL,751940
2011,21,,RETAIL,996965
2011,41,,RETAIL,729385
2011,24,,RETAIL,1446749
2011,28,616,RETAIL,96
2011,45,,RETAIL,796082
2011,38,,RETAIL,811651
2011,9,,OUTLETS,133982
2011,23,,OUTLETS,151802
2011,30,,OUTLETS,159719
2011,22,,OUTLETS,190058
2011,38,,OUTLETS,113341
2011,14,,OUTLETS,163817
2011,19,,OUTLETS,153033
2011,33,616,RETAIL,80
2011,36,,ECOM,103357
2011,4,616,ECOM,21
2011,20,616,OUTLETS,1
2011,23,710,ECOM,1
2011,3,616,OUTLETS,1
2011,19,616,ECOM,26
2011,13,,ECOM,115801
2011,9,616,OUTLETS,1
2011,24,616,ECOM,53
2011,24,,ECOM,168383
2011,41,,ECOM,86657
2011,17,616,ECOM,16
2011,19,,ECOM,132043
2011,14,615,RETAIL,3
2011,20,710,RETAIL,1
2011,3,,ECOM,154523
2011,5,616,RETAIL,69
2011,1,616,RETAIL,209
2011,9,616,RETAIL,138
2011,47,,RETAIL,1278522
2011,46,,RETAIL,668017
2011,47,,OUTLETS,233882
2011,31,616,RETAIL,63
2011,6,616,RETAIL,115
2011,8,616,RETAIL,103
2011,50,616,RETAIL,16
2011,20,616,RETAIL,50
2011,17,,ECOM,87624
2011,6,,ECOM,86022
2011,42,,ECOM,100370
2011,4,,ECOM,86337
2011,10,616,ECOM,33
2011,2,616,ECOM,88
2011,26,710,RETAIL,1
2011,1,,ECOM,116142
2011,22,616,ECOM,10
2011,50,,ECOM,141587
2011,28,,RETAIL,840594
2011,14,,RETAIL,973491
2011,30,,RETAIL,737198
2011,51,,RETAIL,1553843
2011,52,,RETAIL,1311646
2011,35,,RETAIL,888667
2011,9,,RETAIL,1321999
2011,21,616,RETAIL,50
2011,5,,OUTLETS,99213
2011,4,615,RETAIL,9
2011,28,615,RETAIL,1
2011,51,616,RETAIL,38
2011,12,,OUTLETS,135395
2011,32,,OUTLETS,173192
2011,48,616,RETAIL,23
2011,6,710,RETAIL,2
2011,0,616,RETAIL,28
2011,40,616,RETAIL,43
2011,27,616,OUTLETS,1
2011,2,615,RETAIL,4
2011,17,615,RETAIL,1
2011,6,616,ECOM,24
2011,38,,ECOM,101802
2011,32,615,RETAIL,1
2011,30,616,ECOM,33
2011,32,710,RETAIL,1
2011,21,616,ECOM,9
2011,44,,ECOM,90779
2011,31,616,ECOM,2
2011,35,,ECOM,118267
2011,38,616,RETAIL,47
2011,2,,RETAIL,855869
2011,22,,RETAIL,1217450
2011,3,616,RETAIL,148
2011,29,616,RETAIL,82
2011,49,,OUTLETS,179704
2011,45,,OUTLETS,170469
2011,18,,OUTLETS,158781
2011,11,,OUTLETS,165289
2011,10,,OUTLETS,130195
2011,6,615,RETAIL,11
2011,13,710,RETAIL,1
2011,21,615,RETAIL,1
2011,5,,ECOM,87248
2011,51,,ECOM,147598
2011,47,,ECOM,183963
2011,45,,ECOM,109050
2011,10,615,RETAIL,3
2011,27,,ECOM,144486
2011,49,,ECOM,129201
2011,33,,ECOM,74189
2011,29,616,ECOM,43
2011,31,,ECOM,87348
2011,9,616,ECOM,39
2011,37,,ECOM,86439
2011,11,,ECOM,113433
2011,22,,ECOM,117511
2011,5,,RETAIL,812130
2011,23,,RETAIL,1078731
2011,8,,RETAIL,1025535
2011,43,,OUTLETS,112104
2011,12,,RETAIL,1068682
2011,35,,OUTLETS,137450
2011,50,,OUTLETS,175024
2011,22,616,RETAIL,80
2011,7,616,RETAIL,105
2011,37,,OUTLETS,118285
2011,52,,OUTLETS,230783
2011,47,616,RETAIL,44
2011,20,,OUTLETS,143635
2011,52,616,RETAIL,46
2011,10,616,RETAIL,98
2011,34,616,RETAIL,37
2011,35,616,RETAIL,59
2011,16,,OUTLETS,191052
2011,19,616,RETAIL,60
2011,45,616,RETAIL,15
2011,17,616,RETAIL,43
2011,44,616,RETAIL,21
2011,26,,OUTLETS,193108
2011,20,,ECOM,91369
2011,12,615,RETAIL,4
2011,14,616,ECOM,22
2011,39,616,RETAIL,39
2011,32,616,ECOM,2
2011,5,710,RETAIL,1
2011,19,615,RETAIL,2
2011,21,,ECOM,117444
2011,7,710,RETAIL,3
2011,25,,ECOM,172717
2011,40,,ECOM,100054
2011,25,616,ECOM,46
2011,38,710,RETAIL,1
2011,48,,ECOM,259745
2011,37,,RETAIL,852108
2011,13,,OUTLETS,127969
2011,3,,RETAIL,831063
2011,12,616,RETAIL,97
2011,16,,RETAIL,964358
2011,20,,RETAIL,858613
2011,7,,OUTLETS,165030
2011,40,,RETAIL,854275
2011,8,615,RETAIL,10
2011,13,616,RETAIL,82
2011,21,,OUTLETS,199675
2011,4,616,RETAIL,70
2011,7,616,ECOM,19
2011,28,,ECOM,154060
2011,12,,ECOM,120952
2011,14,710,RETAIL,1
2011,0,615,RETAIL,1
2011,18,615,RETAIL,2
2011,2,,ECOM,125701
2011,10,,ECOM,158810
2011,8,616,ECOM,37
2011,14,,ECOM,107806
2011,15,,ECOM,99994
2011,52,,ECOM,156869
2011,33,616,ECOM,1
2011,27,616,ECOM,51
2011,1,,RETAIL,910585
2011,27,,RETAIL,1018313
2011,34,,RETAIL,632365
2011,18,616,RETAIL,93
2011,32,616,RETAIL,59
2011,6,,RETAIL,1094325
2011,13,,RETAIL,1105838
2011,11,616,RETAIL,97
2011,39,,OUTLETS,115266
2011,17,,RETAIL,737882
2011,31,,OUTLETS,169095
2011,51,,OUTLETS,218341
2011,42,,OUTLETS,122601
2011,18,,RETAIL,1252782
2011,28,,OUTLETS,148896
2011,43,616,RETAIL,32
2011,2,616,RETAIL,196
2011,14,616,RETAIL,72
2011,41,616,RETAIL,35
2011,11,615,RETAIL,3
2011,24,616,RETAIL,135
2011,42,616,RETAIL,29
2011,23,,ECOM,87653
2011,7,615,RETAIL,9
2011,3,615,RETAIL,8
2011,18,616,ECOM,19
2011,26,616,ECOM,44
2011,23,616,ECOM,14
2011,15,616,ECOM,23
2011,9,615,RETAIL,3
2011,16,616,ECOM,26
2011,34,,ECOM,74716
2011,28,616,ECOM,81
2011,1,710,RETAIL,1
2011,5,616,ECOM,14
2012,49,610,RETAIL,7395
2012,51,531,RETAIL,3162
2012,40,706,RETAIL,10294
2012,44,604,RETAIL,6822
2012,49,706,RETAIL,15596
2012,37,733,RETAIL,1368
2012,47,596,OUTLETS,2014
2012,49,609,RETAIL,15129
2012,32,706,RETAIL,10292
2012,37,661,RETAIL,4141
2012,35,609,RETAIL,4799
2012,52,628,RETAIL,11625
2012,41,733,RETAIL,1667
2012,41,609,ECOM,5110
2012,47,732,RETAIL,4228
2012,38,650,RETAIL,4299
2012,42,531,RETAIL,2197
2012,49,609,OUTLETS,2216
2012,37,593,RETAIL,4371
2012,40,636,RETAIL,2902
2012,44,596,RETAIL,9365
2012,47,528,RETAIL,5873
2012,45,732,RETAIL,3696
2012,40,528,RETAIL,3708
2012,48,595,RETAIL,4668
2012,34,610,RETAIL,5714
2012,46,581,RETAIL,45
2012,45,730,RETAIL,2379
2012,48,611,ECOM,1109
2012,39,614,RETAIL,2241
2012,48,623,ECOM,1900
2012,53,706,RETAIL,2593
2012,50,536,ECOM,139
2012,33,628,RETAIL,6055
2012,46,535,RETAIL,2417
2012,35,628,RETAIL,6718
2012,34,704,RETAIL,1868
2012,32,716,ECOM,152
2012,38,528,RETAIL,4131
2012,49,705,RETAIL,1839
2012,45,629,OUTLETS,712
2012,36,628,RETAIL,6051
2012,52,732,RETAIL,4797
2012,38,647,RETAIL,3509
2012,41,609,RETAIL,12749
2012,33,714,RETAIL,3216
2012,50,675,RETAIL,844
2012,37,595,OUTLETS,779
2012,42,623,RETAIL,895
2012,40,595,RETAIL,4262
2012,51,714,OUTLETS,1585
2012,36,596,RETAIL,1046
2012,44,610,RETAIL,5344
2012,32,611,RETAIL,1446
2012,47,628,ECOM,1055
2012,48,675,RETAIL,710
2012,50,616,RETAIL,1367
2012,51,652,RETAIL,1370
2012,41,661,ECOM,620
2012,51,536,RETAIL,672
2012,50,604,RETAIL,7913
2012,33,629,RETAIL,1045
2012,52,647,RETAIL,9140
2012,35,697,OUTLETS,662
2012,31,593,RETAIL,2930
2012,45,612,OUTLETS,210
2012,35,714,RETAIL,1826
2012,47,536,ECOM,101
2012,33,611,RETAIL,3035
2012,44,595,RETAIL,4191
2012,42,730,RETAIL,2553
2012,36,705,RETAIL,1961
2012,53,661,RETAIL,1663
2012,34,612,OUTLETS,2304
2012,33,601,OUTLETS,1505
2012,41,595,RETAIL,4380
2012,37,596,RETAIL,1686
2012,52,733,OUTLETS,256
2012,31,719,OUTLETS,601
2012,51,706,ECOM,1593
2012,35,661,ECOM,1001
2012,51,727,RETAIL,2949
2012,48,596,OUTLETS,1593
2012,38,610,ECOM,745
2012,48,648,RETAIL,1431
2012,7,,RETAIL,1066486
2012,53,677,ECOM,81
2012,36,631,OUTLETS,475
2012,39,612,OUTLETS,503
2012,44,733,RETAIL,1218
2012,32,705,RETAIL,1987
2012,39,596,OUTLETS,526
2012,32,705,OUTLETS,257
2012,49,596,OUTLETS,1805
2012,43,610,ECOM,566
2012,33,714,ECOM,836
2012,51,,RETAIL,298
2012,52,705,OUTLETS,203
2012,33,748,RETAIL,440
2012,36,593,RETAIL,2560
2012,50,732,OUTLETS,1330
2012,31,575,RETAIL,1051
2012,32,612,OUTLETS,1706
2012,48,595,OUTLETS,1236
2012,39,593,OUTLETS,1094
2012,39,704,OUTLETS,308
2012,11,,RETAIL,1190024
2012,1,,RETAIL,855009
2012,28,,RETAIL,847850
2012,47,631,RETAIL,15
2012,12,,OUTLETS,153445
2012,47,536,RETAIL,445
2012,41,748,RETAIL,99
2012,42,593,OUTLETS,1307
2012,49,631,OUTLETS,410
2012,45,628,ECOM,621
2012,38,538,RETAIL,1038
2012,40,704,OUTLETS,298
2012,52,636,RETAIL,2398
2012,46,505,OUTLETS,579
2012,40,505,OUTLETS,503
2012,39,706,ECOM,2188
2012,34,629,OUTLETS,867
2012,48,740,RETAIL,498
2012,40,698,RETAIL,1
2012,42,601,ECOM,281
2012,48,736,RETAIL,218
2012,41,725,RETAIL,409
2012,16,,OUTLETS,155965
2012,39,,OUTLETS,99
2012,42,538,RETAIL,661
2012,45,610,ECOM,1243
2012,44,531,ECOM,425
2012,42,705,ECOM,157
2012,35,609,ECOM,2785
2012,39,652,ECOM,821
2012,41,,RETAIL,187
2012,49,505,OUTLETS,402
2012,38,719,RETAIL,292
2012,37,609,ECOM,2151
2012,37,705,OUTLETS,40
2012,44,741,ECOM,293
2012,50,575,ECOM,667
2012,48,714,RETAIL,289
2012,33,725,RETAIL,1285
2012,50,705,OUTLETS,145
2012,45,648,ECOM,521
2012,43,647,ECOM,296
2012,32,629,OUTLETS,670
2012,38,733,ECOM,443
2012,37,528,OUTLETS,382
2012,38,612,OUTLETS,599
2012,50,611,ECOM,835
2012,40,593,ECOM,85
2012,43,661,OUTLETS,50
2012,46,716,RETAIL,111
2012,50,528,OUTLETS,628
2012,51,706,OUTLETS,154
2012,31,610,ECOM,591
2012,36,601,ECOM,214
2012,32,614,OUTLETS,274
2012,41,631,RETAIL,42
2012,51,538,RETAIL,143
2012,44,741,RETAIL,1191
2012,52,705,RETAIL,879
2012,48,505,OUTLETS,381
2012,32,631,RETAIL,304
2012,34,661,OUTLETS,147
2012,48,531,ECOM,744
2012,44,611,ECOM,585
2012,48,,RETAIL,225
2012,39,730,ECOM,1251
2012,41,719,RETAIL,254
2012,38,614,ECOM,404
2012,36,650,ECOM,487
2012,36,,RETAIL,152
2012,42,631,OUTLETS,423
2012,30,,RETAIL,688686
2012,41,612,RETAIL,313
2012,48,647,ECOM,3534
2012,41,614,OUTLETS,114
2012,40,652,ECOM,586
2012,29,,RETAIL,811323
2012,31,730,OUTLETS,4
2012,18,,RETAIL,1050421
2012,38,,OUTLETS,112
2012,31,611,ECOM,165
2012,36,536,RETAIL,93
2012,47,697,OUTLETS,122
2012,53,531,ECOM,76
2012,49,725,RETAIL,179
2012,39,732,OUTLETS,141
2012,43,704,ECOM,93
2012,53,611,ECOM,285
2012,47,732,ECOM,1790
2012,41,518,RETAIL,28176
2012,50,518,RETAIL,27428
2012,37,518,RETAIL,34861
2012,37,518,OUTLETS,2054
2012,33,518,RETAIL,26117
2012,53,518,OUTLETS,885
2012,48,518,OUTLETS,1865
2012,33,518,OUTLETS,2587
2012,33,518,ECOM,3374
2012,41,520,RETAIL,6426
2012,33,520,RETAIL,8485
2012,53,520,RETAIL,2502
2012,46,520,RETAIL,4403
2012,39,520,OUTLETS,829
2012,42,520,RETAIL,6238
2012,33,520,OUTLETS,1473
2012,45,520,OUTLETS,730
2012,33,520,ECOM,1064
2012,31,520,ECOM,843
2012,49,521,RETAIL,3331
2012,38,521,OUTLETS,1585
2012,47,521,OUTLETS,1277
2012,52,521,ECOM,269
2012,39,521,ECOM,274
2012,43,526,RETAIL,8900
2012,41,526,RETAIL,10434
2012,48,526,OUTLETS,350
2012,36,526,RETAIL,7812
2012,47,529,RETAIL,10863
2012,47,529,OUTLETS,6056
2012,40,529,RETAIL,5740
2012,33,529,RETAIL,3977
2012,50,529,ECOM,3847
2012,38,529,ECOM,695
2012,42,529,ECOM,1230
2012,41,530,OUTLETS,537
2012,40,530,OUTLETS,735
2012,41,530,RETAIL,520
2012,46,530,ECOM,114
2012,36,530,OUTLETS,1310
2012,47,530,OUTLETS,116
2012,53,530,OUTLETS,76
2012,32,532,RETAIL,484
2012,51,532,RETAIL,1011
2012,31,532,RETAIL,496
2012,32,533,RETAIL,15859
2012,35,533,RETAIL,8395
2012,45,533,ECOM,131
2012,32,533,OUTLETS,6067
2012,35,533,OUTLETS,3553
2012,52,533,OUTLETS,413
2012,32,534,RETAIL,7979
2012,40,534,RETAIL,1753
2012,49,534,ECOM,176
2012,39,534,ECOM,204
2012,37,537,RETAIL,38093
2012,50,537,ECOM,6779
2012,33,539,RETAIL,2374
2012,37,539,RETAIL,3766
2012,45,539,RETAIL,212
2012,47,539,RETAIL,179
2012,49,540,RETAIL,9228
2012,42,570,OUTLETS,2351
2012,42,570,RETAIL,6826
2012,47,570,OUTLETS,3150
2012,48,570,RETAIL,9405
2012,40,570,RETAIL,7335
2012,38,570,OUTLETS,1492
2012,43,570,RETAIL,7733
2012,39,570,ECOM,1881
2012,45,574,RETAIL,2182
2012,51,574,RETAIL,3637
2012,34,574,RETAIL,1325
2012,42,574,RETAIL,1515
2012,31,574,RETAIL,1266
2012,39,580,OUTLETS,1322
2012,43,580,OUTLETS,1609
2012,37,580,RETAIL,1453
2012,47,591,RETAIL,18896
2012,46,591,OUTLETS,1638
2012,42,591,OUTLETS,1642
2012,43,591,OUTLETS,1551
2012,50,591,ECOM,683
2012,31,592,RETAIL,4408
2012,48,592,RETAIL,5080
2012,38,592,OUTLETS,589
2012,41,592,RETAIL,5921
2012,36,592,RETAIL,6968
2012,33,592,RETAIL,6337
2012,39,592,RETAIL,6961
2012,53,592,OUTLETS,354
2012,49,598,RETAIL,10380
2012,43,598,RETAIL,6277
2012,44,598,RETAIL,7007
2012,37,598,OUTLETS,661
2012,47,598,OUTLETS,1738
2012,51,598,OUTLETS,1756
2012,40,598,OUTLETS,684
2012,42,598,OUTLETS,859
2012,31,599,RETAIL,16718
2012,44,599,RETAIL,20862
2012,45,599,OUTLETS,3071
2012,37,599,OUTLETS,1782
2012,52,599,ECOM,430
2012,50,600,RETAIL,13538
2012,53,600,OUTLETS,475
2012,33,600,RETAIL,8552
2012,39,600,OUTLETS,913
2012,36,606,RETAIL,8531
2012,31,606,OUTLETS,70
2012,48,606,OUTLETS,2428
2012,32,607,ECOM,360
2012,36,607,ECOM,1294
2012,52,607,ECOM,579
2012,32,615,RETAIL,24627
2012,52,615,OUTLETS,5736
2012,36,615,RETAIL,27814
2012,38,615,RETAIL,24185
2012,32,615,ECOM,5670
2012,40,615,ECOM,7254
2012,46,617,RETAIL,3752
2012,52,617,RETAIL,11571
2012,35,617,RETAIL,3885
2012,37,617,RETAIL,3293
2012,41,617,RETAIL,4374
2012,34,617,RETAIL,3273
2012,37,617,ECOM,805
2012,36,617,ECOM,1708
2012,38,617,ECOM,885
2012,50,618,ECOM,22658
2012,40,618,OUTLETS,3978
2012,50,618,RETAIL,38386
2012,53,618,OUTLETS,2911
2012,40,618,ECOM,9682
2012,37,618,ECOM,6652
2012,43,620,RETAIL,8533
2012,33,620,ECOM,1875
2012,44,620,ECOM,1866
2012,41,620,OUTLETS,1382
2012,53,620,OUTLETS,654
2012,37,620,OUTLETS,1414
2012,51,620,OUTLETS,1085
2012,42,620,ECOM,2819
2012,36,620,OUTLETS,1597
2012,35,620,ECOM,2032
2012,46,620,ECOM,2490
2012,41,621,RETAIL,5833
2012,53,621,OUTLETS,332
2012,37,621,ECOM,905
2012,43,621,OUTLETS,440
2012,36,621,ECOM,2166
2012,51,621,ECOM,1180
2012,39,622,RETAIL,8062
2012,32,622,RETAIL,9347
2012,34,622,ECOM,1623
2012,33,622,OUTLETS,1145
2012,40,622,ECOM,1793
2012,53,622,OUTLETS,560
2012,44,622,OUTLETS,536
2012,52,624,RETAIL,4314
2012,39,624,RETAIL,2268
2012,38,624,ECOM,938
2012,31,624,ECOM,391
2012,43,625,RETAIL,11277
2012,47,625,RETAIL,12147
2012,45,625,ECOM,1505
2012,49,626,RETAIL,102149
2012,44,626,OUTLETS,7565
2012,53,627,RETAIL,6635
2012,44,627,RETAIL,18774
2012,50,627,OUTLETS,3635
2012,33,627,OUTLETS,3012
2012,51,627,OUTLETS,4433
2012,53,627,ECOM,1473
2012,50,627,ECOM,2760
2012,36,633,RETAIL,10620
2012,41,633,ECOM,382
2012,35,649,RETAIL,5239
2012,37,649,OUTLETS,2544
2012,43,649,RETAIL,3510
2012,49,649,OUTLETS,3497
2012,53,649,OUTLETS,999
2012,34,649,ECOM,377
2012,46,649,ECOM,543
2012,48,651,RETAIL,5121
2012,52,657,RETAIL,7285
2012,42,657,RETAIL,5075
2012,36,657,RETAIL,4156
2012,44,657,RETAIL,3681
2012,41,657,RETAIL,3475
2012,53,657,RETAIL,2010
2012,48,660,RETAIL,5060
2012,42,660,ECOM,2399
2012,37,662,RETAIL,459
2012,40,662,ECOM,62
2012,43,662,OUTLETS,54
2012,41,662,RETAIL,278
2012,52,662,ECOM,44
2012,52,683,OUTLETS,141
2012,37,683,OUTLETS,213
2012,42,683,OUTLETS,401
2012,33,683,OUTLETS,278
2012,35,683,OUTLETS,297
2012,47,696,RETAIL,20625
2012,31,696,OUTLETS,3934
2012,48,696,ECOM,4340
2012,51,696,OUTLETS,2147
2012,44,696,ECOM,2357
2012,40,696,ECOM,4748
2012,43,696,ECOM,2571
2012,52,699,RETAIL,34912
2012,50,699,RETAIL,38992
2012,48,699,RETAIL,34449
2012,36,699,RETAIL,22451
2012,47,699,RETAIL,44649
2012,37,699,RETAIL,28467
2012,53,699,RETAIL,7918
2012,34,699,RETAIL,10843
2012,50,699,ECOM,8238
2012,41,699,ECOM,3090
2012,40,702,RETAIL,12918
2012,35,702,RETAIL,11397
2012,41,702,RETAIL,13204
2012,38,702,OUTLETS,2957
2012,33,702,ECOM,2108
2012,35,702,ECOM,2579
2012,52,710,OUTLETS,4555
2012,46,710,RETAIL,8880
2012,41,710,OUTLETS,2297
2012,36,710,ECOM,4522
2012,47,710,ECOM,3865
2012,43,712,RETAIL,7552
2012,33,712,ECOM,1620
2012,38,712,OUTLETS,286
2012,48,712,OUTLETS,327
2012,44,712,ECOM,1007
2012,44,717,RETAIL,13561
2012,37,717,OUTLETS,1552
2012,36,717,OUTLETS,2543
2012,52,722,RETAIL,4418
2012,40,722,ECOM,1736
2012,32,723,RETAIL,2637
2012,33,723,OUTLETS,3403
2012,39,723,RETAIL,1470
2012,34,723,RETAIL,2375
2012,49,723,RETAIL,525
2012,49,723,ECOM,312
2012,39,723,ECOM,478
2012,42,724,OUTLETS,1678
2012,44,724,OUTLETS,1139
2012,43,724,OUTLETS,1524
2012,44,724,RETAIL,710
2012,42,724,RETAIL,1277
2012,31,724,ECOM,350
2012,44,731,OUTLETS,1458
2012,45,731,RETAIL,3437
2012,32,731,RETAIL,4592
2012,35,731,RETAIL,5412
2012,37,731,RETAIL,6060
2012,43,731,RETAIL,2309
2012,50,731,OUTLETS,1638
2012,37,501,RETAIL,21321
2012,33,501,RETAIL,9511
2012,45,501,ECOM,3995
2012,38,501,ECOM,2552
2012,40,502,RETAIL,4996
2012,38,502,RETAIL,2670
2012,44,502,RETAIL,12471
2012,32,502,RETAIL,2259
2012,43,502,ECOM,932
2012,41,503,RETAIL,27280
2012,48,503,RETAIL,49087
2012,47,503,RETAIL,44336
2012,49,503,RETAIL,59960
2012,50,503,OUTLETS,391
2012,44,503,OUTLETS,294
2012,47,503,ECOM,5771
2012,48,503,ECOM,7812
2012,45,503,ECOM,5844
2012,35,503,OUTLETS,193
2012,37,503,ECOM,887
2012,47,504,OUTLETS,32954
2012,39,504,OUTLETS,12234
2012,37,504,OUTLETS,9931
2012,49,504,OUTLETS,20113
2012,53,504,OUTLETS,7326
2012,48,504,ECOM,3590
2012,31,504,ECOM,322
2012,51,504,ECOM,1368
2012,48,506,RETAIL,4695
2012,44,506,RETAIL,4828
2012,40,506,RETAIL,4544
2012,51,506,RETAIL,3796
2012,52,506,RETAIL,2372
2012,34,507,OUTLETS,7085
2012,36,507,ECOM,4019
2012,50,508,RETAIL,37606
2012,35,508,RETAIL,41829
2012,48,508,RETAIL,32884
2012,52,508,OUTLETS,6858
2012,45,508,OUTLETS,5063
2012,47,508,OUTLETS,7898
2012,33,508,OUTLETS,11323
2012,41,508,OUTLETS,6105
2012,36,508,ECOM,6488
2012,39,509,RETAIL,37695
2012,34,509,OUTLETS,9629
2012,38,509,RETAIL,33822
2012,36,509,RETAIL,31240
2012,51,509,ECOM,4805
2012,32,509,ECOM,2702
2012,51,616,ECOM,944
2012,46,601,ECOM,374
2012,33,631,RETAIL,465
2012,53,719,ECOM,31
2012,53,706,OUTLETS,98
2012,34,505,ECOM,31
2012,51,661,OUTLETS,69
2012,40,535,ECOM,752
2012,53,733,ECOM,22
2012,41,596,ECOM,225
2012,47,614,ECOM,735
2012,38,531,ECOM,514
2012,37,730,ECOM,531
2012,48,595,ECOM,683
2012,44,647,ECOM,226
2012,40,705,ECOM,167
2012,46,571,ECOM,464
2012,48,596,ECOM,795
2012,36,505,ECOM,102
2012,37,661,ECOM,688
2012,51,719,OUTLETS,4
2012,33,730,ECOM,671
2012,43,604,ECOM,542
2012,36,614,ECOM,575
2012,49,741,ECOM,1875
2012,38,741,ECOM,240
2012,32,595,ECOM,81
2012,49,614,ECOM,592
2012,45,647,ECOM,1334
2012,23,,OUTLETS,146532
2012,9,,OUTLETS,117421
2012,48,733,ECOM,320
2012,45,672,OUTLETS,28
2012,43,530,RETAIL,146
2012,49,533,ECOM,360
2012,52,534,RETAIL,27
2012,50,534,RETAIL,29
2012,34,539,ECOM,221
2012,31,552,ECOM,718
2012,41,598,ECOM,129
2012,50,606,ECOM,1709
2012,31,607,ECOM,169
2012,32,617,ECOM,881
2012,40,617,ECOM,1129
2012,37,625,ECOM,1569
2012,49,633,ECOM,657
2012,40,662,OUTLETS,157
2012,31,699,ECOM,1789
2012,39,699,ECOM,4293
2012,53,712,ECOM,1214
2012,37,723,ECOM,416
2012,38,504,ECOM,1192
2012,47,506,ECOM,1199
2012,36,705,OUTLETS,82
2012,53,725,ECOM,17
2012,49,535,ECOM,494
2012,43,,OUTLETS,47
2012,37,725,ECOM,99
2012,39,601,ECOM,234
2012,36,,OUTLETS,142
2012,37,,OUTLETS,103
2012,45,595,ECOM,316
2012,47,725,ECOM,40
2012,44,709,RETAIL,12
2012,31,593,ECOM,62
2012,52,604,ECOM,269
2012,53,714,ECOM,85
2012,50,719,ECOM,97
2012,39,705,ECOM,275
2012,42,521,ECOM,187
2012,36,521,ECOM,588
2012,44,530,ECOM,195
2012,39,539,ECOM,240
2012,44,552,ECOM,496
2012,38,552,ECOM,803
2012,45,580,ECOM,844
2012,47,625,ECOM,2288
2012,51,627,ECOM,2275
2012,33,649,ECOM,434
2012,48,662,ECOM,42
2012,44,717,ECOM,1248
2012,51,731,ECOM,371
2012,36,733,OUTLETS,43
2012,42,616,ECOM,748
2012,42,604,ECOM,953
2012,46,,OUTLETS,111
2012,46,704,ECOM,50
2012,34,581,ECOM,57
2012,46,575,ECOM,515
2012,37,716,ECOM,107
2012,46,663,ECOM,29
2012,11,,ECOM,134971
2012,53,526,ECOM,459
2012,50,534,ECOM,156
2012,52,580,ECOM,446
2012,40,598,ECOM,269
2012,41,600,ECOM,203
2012,46,606,ECOM,926
2012,47,681,RETAIL,2
2012,53,731,ECOM,35
2012,35,502,ECOM,248
2012,32,611,ECOM,201
2012,50,652,ECOM,868
2012,43,596,ECOM,298
2012,48,604,ECOM,1391
2012,52,714,ECOM,166
2012,48,709,RETAIL,9
2012,38,709,RETAIL,33
2012,45,612,RETAIL,53
2012,43,614,OUTLETS,56
2012,33,631,ECOM,63
2012,41,521,ECOM,99
2012,35,529,ECOM,516
2012,33,572,OUTLETS,10
